Training Steps,corpus0_train_bleu_nld_Latn_to_gos_Latn_src_to_tgt,corpus0_train_bleu_gos_Latn_to_nld_Latn_tgt_to_src,corpus0_train_chrf_nld_Latn_to_gos_Latn_src_to_tgt,corpus0_train_chrf_gos_Latn_to_nld_Latn_tgt_to_src,corpus0_validate_bleu_nld_Latn_to_gos_Latn_src_to_tgt,corpus0_validate_bleu_gos_Latn_to_nld_Latn_tgt_to_src,corpus0_validate_chrf_nld_Latn_to_gos_Latn_src_to_tgt,corpus0_validate_chrf_gos_Latn_to_nld_Latn_tgt_to_src
epoch1,30.99772499207403,57.138636414821,58.052397543053026,72.76632579328148,25.519422546012418,53.055473178292154,55.93062568428672,71.04657886130416
epoch2,49.107000525491394,72.89823660745685,71.52696999070164,82.79775913888278,42.219246360912216,67.6567038614391,67.88087919933939,80.65860411552703
epoch3,56.20658243444168,80.17927514344676,75.7473358461914,87.59399167762652,48.49944050615929,69.11257082787019,72.28126093898753,81.57002740455938
epoch4,60.66955107163587,82.7771346554053,79.17548053370011,89.76718111539334,48.720756351988776,71.2812716386851,72.23544476777572,82.94457450705697
epoch5,67.21838650327557,85.40259562908624,82.30476534392804,91.05846780740822,51.35835417250461,70.79280529432803,74.88451254496549,82.49006035491124
epoch6,71.83617143287546,87.6539365468608,85.59661227495371,92.51112110886322,53.12828037383924,71.12615509663115,75.36504749456793,83.10043580252517
epoch7,77.29635169689396,90.24187574606312,88.05920808870077,93.76087362453639,54.66268115484889,69.2640945302387,76.41305632042686,81.9013992677025
epoch8,79.39790020210245,92.07385696280237,89.74465589244247,95.00583699874475,53.37715860478063,71.88646562366048,77.37380627307083,83.39150311611043
epoch9,79.01249331822643,93.10161181662612,89.52922499341082,95.85253244505455,52.669491585166334,70.15117557051168,76.55524990275688,82.3331126296975
epoch10,80.21069978802744,94.16397808632435,90.61563247773378,96.47557152042803,54.33059118278248,71.27819156934119,76.15413145630839,83.03880423306053
epoch11,83.42285925291827,94.63234073197155,91.95124412558975,96.73778915527824,57.09263082025799,72.23727436410054,78.1390651784556,83.56491013389605
epoch12,82.08414817288545,94.00168119975928,91.2999721365646,96.1893267589146,58.8317538407729,73.18228189177988,79.47449496064056,84.00727238652628
