Training Steps,corpus0_train_bleu_nld_Latn_to_gos_Latn_src_to_tgt,corpus0_train_bleu_gos_Latn_to_nld_Latn_tgt_to_src,corpus0_train_chrf_nld_Latn_to_gos_Latn_src_to_tgt,corpus0_train_chrf_gos_Latn_to_nld_Latn_tgt_to_src,corpus0_validate_bleu_nld_Latn_to_gos_Latn_src_to_tgt,corpus0_validate_bleu_gos_Latn_to_nld_Latn_tgt_to_src,corpus0_validate_chrf_nld_Latn_to_gos_Latn_src_to_tgt,corpus0_validate_chrf_gos_Latn_to_nld_Latn_tgt_to_src
epoch1,27.53216845043229,57.61785922491875,55.322202526494436,74.08532317720119,27.86985102420245,53.724059286349714,57.429781528804355,70.84143810736133
epoch2,50.336982181257575,67.08574082335484,72.40053209776343,80.80539877284912,38.65038692253126,62.830250792100344,66.38706203999931,77.60954041096967
epoch3,57.42635422364879,77.67346363397661,77.36662710676767,86.24009732488798,48.786906665137934,68.75577287470688,70.87488687289249,80.99784199466534
epoch4,62.825148078172646,82.98448881595905,81.09952334628831,89.68764706668914,50.45210142716916,72.6109169236784,73.32660917925729,83.69999898874185
epoch5,70.6511647130154,86.41504840069133,85.66377450941907,91.5195163875216,52.735288161563155,74.43371507379858,74.12170184274459,84.331254667011
epoch6,77.8153693530622,87.03734526924066,88.44611865077808,92.01132707764515,54.88332882780167,73.68676912731911,76.4836654193223,83.85167903597716
epoch7,82.91712955920116,90.12308141912835,91.71890963350123,93.58065874299922,57.201978193253055,74.34151500836137,77.32311169861215,83.59987806271461
epoch8,82.09059300987408,91.39342767847944,91.86845716425508,94.33759677431898,56.714805110873534,75.4046529969353,77.45159597620791,84.89754310464305
epoch9,82.87932819090399,91.60076241900764,91.97584275095913,94.78869016932346,57.89423538886224,74.58335117223989,78.05768288982978,84.28218936145701
epoch10,82.7449421978882,93.25504334350556,90.86814118537028,95.55007241377595,58.17265604838772,74.78324725313405,77.49606724995617,84.10998764398178
epoch11,82.32013634880786,94.0916798696562,91.62750744778542,96.10353761720678,59.30236747302755,73.65601426524685,77.95988779167378,84.097629537107
epoch12,85.57574220547227,94.5372522835548,93.58012084500724,95.77001703309503,60.60095264102414,75.29981241414568,79.03271298933299,84.54740372598667
