Training Steps,corpus0_train_bleu_nld_Latn_to_gos_Latn_src_to_tgt,corpus0_train_bleu_gos_Latn_to_nld_Latn_tgt_to_src,corpus0_train_chrf_nld_Latn_to_gos_Latn_src_to_tgt,corpus0_train_chrf_gos_Latn_to_nld_Latn_tgt_to_src,corpus0_validate_bleu_nld_Latn_to_gos_Latn_src_to_tgt,corpus0_validate_bleu_gos_Latn_to_nld_Latn_tgt_to_src,corpus0_validate_chrf_nld_Latn_to_gos_Latn_src_to_tgt,corpus0_validate_chrf_gos_Latn_to_nld_Latn_tgt_to_src
epoch1,46.819510587059455,42.855107109722184,70.97144456231781,62.08066319680711,45.617228654297634,42.20269730709505,69.12706308125802,61.97494691180139
epoch2,60.13406540752222,46.885130440826195,79.5338515223573,65.53926313282558,56.107882145713205,44.31146064114552,77.05922208081948,63.50412922637072
epoch3,68.59773257365812,51.84255162801118,85.68007924463825,68.21893156635471,57.94183791602056,46.29063767823974,78.58702857685262,65.86726809683677
epoch4,74.3465962258165,55.21047879879111,86.95461679073345,70.927118849169,60.539007750884934,45.313414804477205,79.50178969657455,64.97660197738331
epoch5,74.40744553378448,55.03004520420184,87.9879150899333,71.16296454339472,62.06052660771041,48.626978092556264,80.93330594405828,67.25714428264527
epoch6,78.86472813258767,55.58232829279626,90.29745262556315,71.21144630082678,63.26343869001717,47.24133006683141,81.33599907240696,66.30443000036472
epoch7,80.56270975117276,56.85858196761853,90.60437337928907,72.61098371038457,63.30273434210387,46.71718796879859,82.66955029564956,66.2798331391489
epoch8,81.56465382785068,55.35582120780312,90.7765333961151,71.36685645243969,60.26542783800687,48.594089575121316,80.19598692144945,67.23220631875174
epoch9,85.41550950248138,57.299017903139045,92.84461663577098,72.92565685238942,60.44059067651156,47.614026539371594,79.7462587208592,66.52931091363642
epoch10,87.44095834207926,57.540034287852606,93.81298416221485,73.229186969675,59.27872105299002,47.42987544119756,79.38556646703526,66.44039458700554
epoch11,87.10988897472535,58.72274526080607,94.19519981491264,74.20853327794806,60.882097478591355,48.73098793777641,79.94468343248381,67.2860562899433
epoch12,88.42372073167218,58.694810736386145,94.28757753462654,73.94523216737619,62.4127762123588,46.91845032999455,81.3446643749643,66.25142164662766
