Training Steps,train_bleu_nld_Latn_to_gos_Latn_src_to_tgt,train_bleu_gos_Latn_to_nld_Latn_tgt_to_src,train_chrf_nld_Latn_to_gos_Latn_src_to_tgt,train_chrf_gos_Latn_to_nld_Latn_tgt_to_src,validate_bleu_nld_Latn_to_gos_Latn_src_to_tgt,validate_bleu_gos_Latn_to_nld_Latn_tgt_to_src,validate_chrf_nld_Latn_to_gos_Latn_src_to_tgt,validate_chrf_gos_Latn_to_nld_Latn_tgt_to_src
350,42.13405433341483,36.8674886927812,67.04270597220332,56.97984075326487,38.47514938047929,34.4248802882633,64.676441658738,55.45153202362454
400,42.300313578080086,37.55706707544278,66.50025490354149,57.82034463981782,42.85135116068314,34.35536857690856,67.14522702668108,55.06959911858683
450,44.877485236357245,38.377779497119114,68.76665530946246,58.64594249496452,44.65830866982184,33.766341027223014,68.8604307722374,55.87183509373864
500,41.391812504710735,42.00323380690092,67.96125446993722,61.461478980247286,41.86988032690536,38.08422205756413,68.79416329634454,58.45594431782326
550,48.73109637742318,40.754490718639545,70.87287891495306,60.55821787152822,48.2266533476647,35.86448352134633,70.96704555387694,57.08731189323623
600,50.00027526412875,41.711507987689885,72.50485447701918,61.0987920927774,50.016500005626355,39.280073472427816,72.7730331215878,59.35598282436373
650,53.42209232287192,42.46240082542697,75.01118907145775,61.89020791822533,51.38641467847803,40.432894297358274,73.68192153770747,60.31818171741223
700,52.719950916808756,40.711558672166355,74.59285968359296,60.55566910072757,51.24106851273383,38.563791305109376,73.12705949104192,58.795485667667535
750,54.845273320270515,42.90575083449991,74.9231555457496,61.819619885192125,51.289425317042706,40.55286026061082,73.68841426543962,60.085402172238226
800,53.34632961288121,44.67259264202028,75.27154949633761,63.30323077282816,52.466359300796675,41.582507529465325,73.9070032498682,61.34249073702349
