Training Steps,train_bleu_nld_Latn_to_gos_Latn_src_to_tgt,train_bleu_gos_Latn_to_nld_Latn_tgt_to_src,train_chrf_nld_Latn_to_gos_Latn_src_to_tgt,train_chrf_gos_Latn_to_nld_Latn_tgt_to_src,validate_bleu_nld_Latn_to_gos_Latn_src_to_tgt,validate_bleu_gos_Latn_to_nld_Latn_tgt_to_src,validate_chrf_nld_Latn_to_gos_Latn_src_to_tgt,validate_chrf_gos_Latn_to_nld_Latn_tgt_to_src
350,41.57515584050587,40.015264338684204,65.85310464203404,59.85075862621826,36.89058714536483,33.88012798487231,62.55412151877066,55.80032008720794
400,44.86665132865501,37.740555037013735,67.53122746538736,58.96381223441266,40.78007079362006,35.245999585141846,64.80884193341154,56.87548074050667
450,48.8186016248826,36.676480350745344,70.09782028597579,57.92230594555331,43.1608447840247,33.76241671543407,66.89804560520349,54.41331781634404
500,52.1277838018485,44.2506704950655,72.54616203569371,63.17595538693658,45.06430190110977,36.9951204807603,67.81761253338061,57.5485764394027
550,54.15084020213515,41.86483373977146,73.69365403267913,61.70299795031995,45.76006798518938,36.74022485932906,69.79144838742968,57.68643682927374
600,56.40831792818948,43.3192766442145,74.73477482687917,62.422491871248035,46.343470904132644,38.01968636701054,69.08750244928984,58.81901276382408
650,57.43555835044654,45.404595466268304,75.87916443719259,64.53278816283783,45.28914065225869,38.756969937241884,69.44255336097036,60.08374898098232
700,56.09390083690401,47.06077711391695,75.77431147063612,65.2894542296256,47.76218381305937,41.082756283287125,69.99033633375898,61.62353555886941
750,57.7427586508911,45.79082447506448,76.54426178499435,64.24838597605005,50.65318136353938,40.29312553203783,72.15641768807188,60.36141004778083
800,61.19971488968468,47.765412998196396,78.23280903273701,65.49356629106366,49.43974149469926,40.34728273374768,71.30996317104575,60.390743788788214
