Training Steps,train_bleu_nld_Latn_to_gos_Latn_src_to_tgt,train_bleu_gos_Latn_to_nld_Latn_tgt_to_src,train_chrf_nld_Latn_to_gos_Latn_src_to_tgt,train_chrf_gos_Latn_to_nld_Latn_tgt_to_src,validate_bleu_nld_Latn_to_gos_Latn_src_to_tgt,validate_bleu_gos_Latn_to_nld_Latn_tgt_to_src,validate_chrf_nld_Latn_to_gos_Latn_src_to_tgt,validate_chrf_gos_Latn_to_nld_Latn_tgt_to_src
epoch1,46.55602111866847,42.770185946784686,70.33101411975183,62.08641254278496,46.32355223074648,42.45278208693234,70.55393923271045,61.0407973339167
epoch2,60.73743671509876,48.26023758526474,80.32477225274442,66.3906177135444,58.70435809222221,46.546851224663236,77.73367586349741,63.97994063713838
epoch3,66.90779854905936,50.922807170340135,82.88607987458104,68.72046543252117,60.10119072449817,46.11744644958812,79.94219899407098,64.2396790178629
epoch4,68.09421229470222,50.678499703222116,84.14259762264277,68.78422025899123,61.70735444253196,45.93414747427557,80.56828259419359,64.38382087665484
epoch5,74.26836649391798,52.55919799936094,87.77599905143032,69.05026734549331,64.26686586815333,47.02068066215186,81.07006829163755,64.48242543855204
epoch6,73.61350796937279,51.91337973356488,88.11867911666401,69.02202896187288,63.37322180659593,47.22008133624861,80.45085803316844,65.10249876159921
epoch7,77.85504555939819,55.15190505945175,90.06735214660564,71.42332678430839,62.736543625236436,46.635669831678406,81.22702997293338,64.72984487744381
epoch8,80.78579247181457,55.7977516944683,91.401017758261,72.19552031657125,62.91196880918461,47.482708250328706,80.53851992229924,65.40901277194061
epoch9,83.27870085023373,56.11946356127985,93.08258067472079,71.82030894534411,61.63182056971589,47.71790860961924,81.79578926459416,65.35742801016696
epoch10,84.31730857771558,56.62137252461262,93.23222032306684,72.70202003113133,66.77332857667861,47.72627485294547,82.3635784805371,66.05817065252351
epoch11,85.57073259668655,57.07413262741807,94.51095579608756,73.00624917941303,62.83455760396423,48.22257343349338,81.09735269290296,66.06030586488384
epoch12,88.119016664301,56.94970242444247,95.2221066019885,72.84552198185038,64.33223999784514,47.53535799158427,81.8880064750289,65.57291992574305
