Nederlands;Gronings
Israëlisch: h(cid:13) p://www.rijksmuseum.nl/nl/ontdek-de-collec3e/overzicht/ jozef-israëlisch 10 Langs moeders graf: h(cid:13) p://nl.wikipedia.org/wiki/Langs_moeders_graf;Israëls: h(cid:13)ps://www.rijksmuseum.nl/nl/ontdek-de-collec3e/overzicht/ jozef-israels 10 ’Langs moeders graf’’: h(cid:13)p://nl.wikipedia.org/wiki/Langs_moeders_graf
"6e (Ablatief): van een plaats: ik1 gooi van-boom6 met-n-neut; 7e (Locatief): naamwoord van plaats: ik1 zit op-grond7; 8e (Instrumentalis): naamwoord van middel: ik1 gooi met-n-neut8.";"6e (Ablatief): vanoet n ploats: ik1 gooi vanoet-boom6 mit-n-neut8; 7e (Locatief): noamvaal van ploats: ik1 zit op-grond7; 8e (Instrumentalis): noamvaal van middel: ik1 gooi mit-n-neut8."
Met maskers en zoiets, denk ik. Hoe groot is dat stuk asbest, meneer? Ik weet het niet zeker, maar ik denk zo'n halve meter in de weg. Wie mogen we de rekening sturen? Bereken voor de vrouw?;Mit maskers en zokswat, main ik.” “Hoe groot is dat stuk asbest, meneer?” “Ik wait t nait wis, mor ik docht zo’n haalf meter in t vaarkant.” “Wie mogen wij de rekening sturen?” “Reken juvvraauw?
Er is slecht, woedend, afgunst, verdriet, medelijden, gratie, eigenzinnigheid, medelijden met jezelf, schuld, huivering, onwaardigheid, oneerlijkheid, hoge mening van jezelf, eigensinnigheid.;D’aine is slecht, kwoadhaid, òfgunst, verdrait, spiet, grienderghaid, wiezeghaid, medelieden mit joezulf, schuld, vrevel, minderwoardeghaidsgevuil, oneerlekhaid, hoge dunk van joezulf, aigenikkeghaid.
Vooral, zei ze, mag ik wel even op dat klapstoel zitten, dan heb ik wel zo'n mooi uitzicht door die grote voorruit. Natuurlijk, zei ik, dan heb ik ook wel nog een beetje aanspreek.;“Sjevveur”, zee ze, “mag ik wel n zetje op dat klapstoultje zitten, den heb ik ja zo'n mooi oetzicht deur dij grode veurroet.” “Netuurlek”, zee ik, “den heb ik ook ja nog n beetje aansproak.”
"""JACK. WEES EN WAARIG,"" zei hij, ""als altijd."" ""Ik weet niet wat ik erover moet denken,"" zei de douane-man, ""maar ik vind het wel vreemd dat jullie iedere keer de grens oversteken met een zak zand bij jullie.""";“JoaK.wis en woarachteg”, zee e, “zo as aaltied.” “Ik wait nait wat ik der van denken mout”, zee de douane-man, “mor ik vin t wel vrumd dat joe elke moal de grens overgoan mit n zak zaand bie joe.
Nu begon ik toch te twijfelen en zei: Is dit een bandje of ben je een medewerker? Last, meneer, zei de vent, wat kan ik voor u doen? Nou, zei ik, mijn televisie werkt niet meer.;Nou begon ik doch te twieveln en zee: “Is dit n bandje of bist doe n mitwaarker?” “Dat leste, meneer”, zegt dai kirrel, “wat kin ik veur joe doun?“ “Nou”, zee ik, “mien televisie dut nait meer”.
Naast een bullet trammelant, hartpijn en zorgen levert zo'n uitgang in hoe 10 zélk verkeer, naast wat nijdheid en verdraagzaamheid, aan veel nabijheid op, dat niet één, twee, drie op te lossen is.;Noast n bult trammelant, haartzeer en zörgen levert zo’n oetstap in t hoe 10 zelk verkeer, noast wat nijeghaid en dieverdoatsie, aans bar veul noawaark op, dat nait ain, twij, drij op te lözzen is.
"Die vrouw ben ik, ik schrijf al jaren over haar achtergrond. ""Ga jij niet dood?"" ""Nee"", zei ik, ""in mijn geval bleven ze de oude zulfde oudere haren."" ""Ga maar weer weg, ik ben moe.""";"Dij vraauw ben ik, k schrief aal joaren over heur baaident."" ""Goan dij nait dood?"" ""Nee"", zee k, "" in mien verhoal blieven zai aaid zulfde older hollen."" “Goa mor weer vot wicht, k bin muide."""
"Lilumbs2 noot; 3e (Datief): medewerkend voorwoord (aan/voor wie): ik1 lang aan-die3 een noot; 4e (Accusatief): zingend voorwoord: ik1 lang die3 een noot4; 5e (Vocatief): aansproken voorwoord:";"Lilumbu’s2 neut; 3e (Datief): mitwaarkend veurwaarp (aan/ veur wel): ik1 lang aan-die3 n neut4; 4e (Accusatief): liedend veurwaarp: ik1 lang die3 n neut4; 5e (Vocatief): aansproken veurwaarp:"
